bhk,type,area,region,status,age,final_price_lakhs
2,0,6.411818267709897,47,1,0,46.0
2,0,6.411818267709897,47,1,0,46.0
1,0,6.068425588244111,54,1,0,135.0
1,0,6.068425588244111,54,1,0,135.0
1,0,6.12029741895095,198,1,0,63.0
1,0,6.12029741895095,198,1,0,63.0
1,0,6.19644412779452,198,1,0,58.0
1,0,6.19644412779452,198,1,0,58.0
2,0,6.9957661563048505,198,1,0,131.0
2,0,6.9957661563048505,198,1,0,131.0
2,0,6.502790045915623,198,1,0,82.0
2,0,6.502790045915623,198,1,0,82.0
2,0,6.587550014824796,179,0,0,170.0
2,0,6.587550014824796,179,0,0,170.0
4,0,7.30854279753919,179,0,0,340.0
4,0,7.30854279753919,179,0,0,340.0
2,0,6.573680166960646,179,0,0,168.0
2,0,6.573680166960646,179,0,0,168.0
